timestamp,power_w,appliance_label,capture_id
2026-05-27 12:15:00,0.5,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:16:00,0.5,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:17:00,0.5,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:18:00,0.5,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:19:00,0.5,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:20:00,128.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:21:00,162.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:22:00,148.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:23:00,121.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:24:00,118.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:25:00,126.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:26:00,116.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:27:00,121.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:28:00,332.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:29:00,338.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:30:00,342.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:31:00,336.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:32:00,331.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:33:00,329.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:34:00,334.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:35:00,340.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:36:00,327.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:37:00,322.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:38:00,318.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:39:00,315.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:40:00,310.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:41:00,306.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:42:00,228.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:43:00,269.0,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
2026-05-27 12:44:00,0.5,washing_machine,tapo_p110_washing_machine_2026-05-27_1849
