timestamp,power_w,appliance_label
2026-05-24 17:40:00,0.5,iron
2026-05-24 17:41:00,0.5,iron
2026-05-24 17:42:00,0.5,iron
2026-05-24 17:43:00,0.5,iron
2026-05-24 17:44:00,0.5,iron
2026-05-24 17:45:00,0.5,iron
2026-05-24 17:46:00,0.5,iron
2026-05-24 17:47:00,0.5,iron
2026-05-24 17:48:00,0.5,iron
2026-05-24 17:49:00,0.5,iron
2026-05-24 17:50:00,0.5,iron
2026-05-24 17:51:00,0.5,iron
2026-05-24 17:52:00,0.5,iron
2026-05-24 17:53:00,0.5,iron
2026-05-24 17:54:00,0.5,iron
2026-05-24 17:55:00,1148.0,iron
2026-05-24 17:56:00,1156.0,iron
2026-05-24 17:57:00,1162.0,iron
2026-05-24 17:58:00,1139.0,iron
2026-05-24 17:59:00,719.5,iron
2026-05-24 18:00:00,0.5,iron
2026-05-24 18:01:00,0.5,iron
2026-05-24 18:02:00,0.5,iron
2026-05-24 18:03:00,0.5,iron
2026-05-24 18:04:00,0.5,iron
2026-05-24 18:05:00,0.5,iron
2026-05-24 18:06:00,0.5,iron
2026-05-24 18:07:00,0.5,iron
2026-05-24 18:08:00,0.5,iron
2026-05-24 18:09:00,0.5,iron
2026-05-24 18:10:00,0.5,iron
2026-05-24 18:11:00,0.5,iron
2026-05-24 18:12:00,0.5,iron
2026-05-24 18:13:00,0.5,iron
2026-05-24 18:14:00,0.5,iron
2026-05-24 18:15:00,0.5,iron
